# entity
alu
# architecture
struct
# generic params and values
g_BUS_WIDTH
16
# input pins
i_x(16), i_y(16), zx, nx, zy, ny, f, no
# output pins
o_data(16), o_zr, o_ng
# test cases
0000000000000000,1111111111111111,1,0,1,0,1,0,0000000000000000,1,0
0000000000000000,1111111111111111,1,1,1,1,1,1,0000000000000001,0,0
0000000000000000,1111111111111111,1,1,1,0,1,0,1111111111111111,0,1
0000000000000000,1111111111111111,0,0,1,1,0,0,0000000000000000,1,0
0000000000000000,1111111111111111,1,1,0,0,0,0,1111111111111111,0,1
0000000000000000,1111111111111111,0,0,1,1,0,1,1111111111111111,0,1
0000000000000000,1111111111111111,1,1,0,0,0,1,0000000000000000,1,0
0000000000000000,1111111111111111,0,0,1,1,1,1,0000000000000000,1,0
0000000000000000,1111111111111111,1,1,0,0,1,1,0000000000000001,0,0
0000000000000000,1111111111111111,0,1,1,1,1,1,0000000000000001,0,0
0000000000000000,1111111111111111,1,1,0,1,1,1,0000000000000000,1,0
0000000000000000,1111111111111111,0,0,1,1,1,0,1111111111111111,0,1
0000000000000000,1111111111111111,1,1,0,0,1,0,1111111111111110,0,1
0000000000000000,1111111111111111,0,0,0,0,1,0,1111111111111111,0,1
0000000000000000,1111111111111111,0,1,0,0,1,1,0000000000000001,0,0
0000000000000000,1111111111111111,0,0,0,1,1,1,1111111111111111,0,1
0000000000000000,1111111111111111,0,0,0,0,0,0,0000000000000000,1,0
0000000000000000,1111111111111111,0,1,0,1,0,1,1111111111111111,0,1
0000000000010001,0000000000000011,1,0,1,0,1,0,0000000000000000,1,0
0000000000010001,0000000000000011,1,1,1,1,1,1,0000000000000001,0,0
0000000000010001,0000000000000011,1,1,1,0,1,0,1111111111111111,0,1
0000000000010001,0000000000000011,0,0,1,1,0,0,0000000000010001,0,0
0000000000010001,0000000000000011,1,1,0,0,0,0,0000000000000011,0,0
0000000000010001,0000000000000011,0,0,1,1,0,1,1111111111101110,0,1
0000000000010001,0000000000000011,1,1,0,0,0,1,1111111111111100,0,1
0000000000010001,0000000000000011,0,0,1,1,1,1,1111111111101111,0,1
0000000000010001,0000000000000011,1,1,0,0,1,1,1111111111111101,0,1
0000000000010001,0000000000000011,0,1,1,1,1,1,0000000000010010,0,0
0000000000010001,0000000000000011,1,1,0,1,1,1,0000000000000100,0,0
0000000000010001,0000000000000011,0,0,1,1,1,0,0000000000010000,0,0
0000000000010001,0000000000000011,1,1,0,0,1,0,0000000000000010,0,0
0000000000010001,0000000000000011,0,0,0,0,1,0,0000000000010100,0,0
0000000000010001,0000000000000011,0,1,0,0,1,1,0000000000001110,0,0
0000000000010001,0000000000000011,0,0,0,1,1,1,1111111111110010,0,1
0000000000010001,0000000000000011,0,0,0,0,0,0,0000000000000001,0,0
0000000000010001,0000000000000011,0,1,0,1,0,1,0000000000010011,0,0
